	Phenotype	Top 5 Latent Factor Indices (ordered by variance component)	Top 1 Variance Component	Top 3 Variance Component	Top 5 Variance Component
338	peripheral vascular disease	10, 8, 64, 13, 82	11.43%	26.95%	35.87%
339	throat or larynx disorder	78, 89, 23, 49, 16	11.87%	32.55%	42.45%
340	asthma	37, 70, 51, 3, 18	97.52%	98.81%	99.08%
341	fracture ulna	23, 49, 79, 78, 1	16.97%	32.36%	42.34%
342	Chronic bronchitis/emphysema	27, 80, 77, 92, 10	12.26%	30.43%	41.32%
343	sleep apnoea	79, 72, 8, 24, 20	8.29%	21.18%	29.79%
344	allergy/hypersensitivity/anaphylaxis	23, 78, 49, 89, 67	12.75%	25.66%	37.20%
345	anorexia/bulimia/other eating disorder	23, 77, 79, 89, 78	12.04%	28.56%	38.35%
346	fracture clavicle/collar bone	72, 23, 79, 82, 38	9.31%	23.14%	31.08%
347	respiratory infection	23, 67, 38, 92, 16	7.69%	20.70%	30.11%
348	gestational diabetes	23, 49, 78, 89, 82	15.93%	33.87%	47.55%
349	alopecia/hair loss	23, 78, 49, 16, 17	16.69%	33.60%	41.31%
350	heart attack/myocardial infarction	10, 64, 51, 45, 92	20.97%	38.64%	50.77%
351	Diabetes	15, 72, 73, 27, 20	82.41%	92.56%	94.22%
352	hiatus hernia	51, 73, 86, 54, 64	57.20%	67.33%	72.65%
353	measles/morbillivirus	77, 23, 49, 78, 2	10.52%	25.78%	37.13%
354	wegners granulmatosis	23, 78, 22, 30, 7	11.63%	24.64%	33.38%
355	primary biliary cirrhosis	23, 79, 78, 49, 81	17.93%	35.31%	47.83%
356	Weighted-mean ISOVF in tract forceps major	45, 89, 14, 86, 8	8.62%	23.61%	34.41%
357	Volume of grey matter in VIIb Cerebellum (right)	54, 99, 51, 35, 20	49.17%	71.95%	78.42%
358	Volume of grey matter in VIIIa Cerebellum (left)	54, 99, 35, 8, 89	58.32%	82.35%	86.10%
359	Volume of grey matter in VIIb Cerebellum (left)	54, 99, 51, 35, 64	50.30%	71.61%	80.51%
360	Volume of grey matter in Vermis VIIb Cerebellum	54, 99, 8, 89, 59	44.71%	66.10%	73.49%
361	Number of unsuccessful stop-smoking attempts	72, 23, 82, 30, 78	8.67%	21.16%	30.13%
362	Volume of grey matter in Crus II Cerebellum (right)	54, 51, 99, 35, 20	43.13%	65.45%	75.00%
363	Volume of grey matter in Crus I Cerebellum (right)	54, 48, 99, 20, 89	29.15%	52.67%	67.31%
364	Volume of grey matter in Crus II Cerebellum (left)	54, 51, 99, 35, 20	42.62%	62.77%	74.93%
365	Volume of grey matter in Crus I Cerebellum (left)	54, 48, 92, 20, 99	27.08%	45.83%	59.76%
366	Volume of grey matter in Vermis Crus I Cerebellum	79, 23, 59, 49, 86	9.03%	22.44%	31.97%
367	Diastolic blood pressure, manual reading	72, 39, 79, 68, 21	22.43%	35.73%	47.03%
368	Diastolic blood pressure, automated reading	21, 60, 52, 71, 74	94.06%	97.91%	99.19%
369	Leg bone area (left)	94, 92, 27, 89, 80	38.52%	55.61%	63.14%
370	Arm bone area (right)	92, 94, 20, 39, 23	15.61%	33.45%	43.08%
371	Arms combined bone area	94, 92, 64, 78, 23	22.51%	45.01%	52.12%
372	Leg bone area (right)	94, 92, 27, 89, 0	39.64%	56.25%	64.28%
373	Arm bone area (left)	92, 94, 20, 39, 64	21.08%	43.19%	52.46%
374	Hand grip strength (left)	65, 99, 35, 8, 7	80.91%	96.38%	97.17%
375	Number of stillbirths	23, 79, 49, 78, 54	11.88%	29.08%	39.12%
376	Legs combined bone area	94, 92, 27, 89, 64	45.04%	60.78%	68.32%
377	Mean ICVF in splenium of corpus callosum on FA skeleton	81, 46, 14, 97, 11	87.72%	94.03%	94.97%
378	Mean ICVF in fornix on FA skeleton	0, 81, 89, 97, 67	13.62%	31.28%	40.33%
379	Volume of grey matter in Cingulate Gyrus, anterior division (left)	48, 23, 38, 78, 11	11.60%	27.38%	37.02%
380	Volume of grey matter in Cingulate Gyrus, anterior division (right)	23, 48, 38, 89, 78	13.40%	28.82%	38.31%
381	Volume of grey matter in Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex) (left)	23, 89, 48, 59, 32	9.83%	22.68%	32.56%
382	Volume of grey matter in Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex) (right)	23, 48, 49, 20, 78	13.81%	31.92%	44.24%
383	Spherical power (left)	9, 66, 7, 48, 29	99.68%	99.85%	99.87%
384	Volume of grey matter in Frontal Medial Cortex (right)	48, 23, 2, 78, 86	13.29%	29.32%	38.61%
385	Mean ICVF in middle cerebellar peduncle on FA skeleton	81, 14, 20, 0, 46	28.06%	58.74%	70.38%
386	Volume of grey matter in Vermis Crus II Cerebellum	54, 99, 35, 23, 2	43.10%	62.23%	68.41%
387	Volume of grey matter in Subcallosal Cortex (left)	48, 20, 51, 79, 38	74.91%	80.69%	84.83%
388	Mean ICVF in body of corpus callosum on FA skeleton	81, 46, 64, 27, 97	82.49%	93.84%	95.20%
389	logMAR in round (right)	20, 92, 80, 62, 1	49.37%	61.94%	71.44%
390	logMAR in round (left)	92, 80, 59, 1, 98	67.68%	86.42%	90.02%
391	Weighted-mean L1 in tract uncinate fasciculus (left)	14, 97, 57, 20, 78	71.77%	82.78%	86.79%
392	Longest period of depression	79, 83, 23, 38, 72	8.57%	24.25%	36.50%
393	Childhood sunburn occasions	18, 75, 67, 8, 59	90.42%	98.49%	98.68%
394	Mean ISOVF in corticospinal tract on FA skeleton (right)	89, 73, 79, 20, 39	14.84%	33.75%	44.73%
395	Weighted-mean MO in tract forceps minor	79, 89, 2, 23, 27	8.56%	21.71%	32.96%
396	Hip circumference	41, 23, 49, 50, 29	61.63%	97.21%	98.23%
397	Volume of grey matter in Hippocampus (right)	48, 20, 92, 78, 79	37.78%	59.46%	64.63%
398	Weighted-mean L2 in tract superior thalamic radiation (left)	46, 0, 97, 57, 13	50.97%	83.46%	87.52%
399	Time spend outdoors in summer	2, 51, 18, 79, 22	91.93%	95.70%	96.50%
400	Volume of grey matter in Lateral Occipital Cortex, inferior division (left)	48, 23, 49, 78, 72	42.20%	55.98%	62.60%
401	Weighted-mean MO in tract forceps major	89, 73, 27, 59, 23	10.25%	25.84%	35.96%
402	Platelet crit	19, 40, 70, 42, 91	98.94%	99.27%	99.49%
403	Mean reticulocyte volume	72, 91, 55, 92, 27	26.33%	57.44%	67.00%
404	Birth weight of first child	45, 64, 39, 2, 86	12.58%	32.31%	47.75%
405	Weighted-mean FA in tract posterior thalamic radiation (right)	57, 46, 81, 14, 64	33.33%	64.37%	77.08%
406	Age started wearing glasses or contact lenses	27, 92, 38, 9, 99	32.54%	63.96%	75.91%
407	Pulse rate, automated reading	26, 21, 89, 99, 8	99.30%	99.46%	99.56%
408	Mean ISOVF in inferior cerebellar peduncle on FA skeleton (left)	73, 23, 0, 49, 20	8.45%	20.39%	31.24%
409	Weighted-mean MD in tract acoustic radiation (left)	51, 64, 14, 57, 46	46.47%	66.54%	73.97%
410	Weighted-mean MO in tract cingulate gyrus part of cingulum (left)	89, 73, 59, 23, 79	6.38%	17.58%	25.90%
411	Weighted-mean MD in tract anterior thalamic radiation (left)	97, 14, 57, 81, 0	81.52%	89.54%	94.51%
412	Weighted-mean MD in tract acoustic radiation (right)	59, 1, 27, 20, 46	15.83%	32.15%	44.76%
413	Leg total mass (left)	94, 1, 17, 73, 20	49.12%	87.88%	91.47%
414	Weighted-mean FA in tract superior longitudinal fasciculus (right)	46, 57, 97, 81, 0	58.86%	86.66%	92.16%
415	Corneal hysteresis (left)	4, 38, 98, 6, 80	84.20%	90.41%	92.30%
416	Median BOLD effect (in group-defined mask) for faces activation	39, 98, 52, 32, 67	61.87%	79.46%	83.29%
417	Gynoid total mass	94, 17, 1, 73, 27	47.25%	93.68%	96.13%
418	Gynoid tissue fat percentage	1, 17, 94, 20, 27	63.69%	95.69%	96.73%
419	Leg lean mass (left)	94, 1, 20, 17, 61	94.96%	96.68%	97.37%
420	Systolic blood pressure, manual reading	60, 72, 39, 71, 79	10.79%	25.45%	38.43%
421	Weighted-mean MD in tract corticospinal tract (right)	97, 46, 73, 92, 30	25.61%	45.52%	52.77%
422	Weighted-mean MD in tract forceps major	14, 45, 57, 89, 1	14.83%	33.23%	46.62%
423	Weighted-mean MD in tract forceps minor	46, 97, 64, 81, 20	28.87%	59.45%	81.13%
424	Weighted-mean MD in tract inferior fronto-occipital fasciculus (left)	57, 81, 14, 97, 46	61.15%	85.39%	93.88%
425	Weighted-mean MD in tract cingulate gyrus part of cingulum (right)	46, 81, 97, 0, 64	55.20%	80.82%	90.08%
426	Weighted-mean L3 in tract uncinate fasciculus (left)	14, 20, 57, 92, 27	73.37%	86.50%	89.87%
427	Weighted-mean MD in tract parahippocampal part of cingulum (right)	64, 51, 38, 67, 80	34.94%	59.10%	71.20%
428	Weighted-mean MD in tract corticospinal tract (left)	97, 81, 46, 73, 89	22.03%	44.09%	56.21%
429	Arm lean mass (right)	94, 20, 27, 74, 67	84.26%	88.55%	90.36%
430	Arm tissue fat percentage (right)	1, 17, 94, 27, 79	65.07%	91.43%	93.52%
431	Arm total mass (right)	94, 17, 1, 20, 27	57.21%	86.46%	92.61%
432	Arms fat mass	17, 1, 94, 27, 73	79.25%	97.36%	97.98%
433	Arm lean mass (left)	94, 20, 71, 67, 68	85.41%	88.57%	90.35%
434	Total fat mass	17, 1, 23, 94, 82	92.81%	98.28%	98.57%
435	Arm total mass (left)	94, 17, 1, 20, 27	59.25%	88.13%	93.69%
436	Father's age at death	64, 74, 10, 92, 68	17.65%	44.27%	54.32%
437	Arms lean mass	94, 71, 74, 32, 67	89.17%	90.96%	92.25%
438	Arms tissue fat percentage	1, 17, 94, 27, 73	51.15%	93.77%	95.15%
439	Weighted-mean FA in tract acoustic radiation (left)	57, 46, 14, 0, 81	24.41%	58.11%	65.40%
440	Mean ISOVF in posterior thalamic radiation on FA skeleton (left)	0, 1, 13, 62, 46	66.38%	71.42%	75.13%
441	Weighted-mean L2 in tract medial lemniscus (left)	38, 51, 1, 27, 45	47.62%	60.02%	69.59%
442	Weighted-mean ISOVF in tract corticospinal tract (left)	20, 23, 32, 27, 78	8.53%	22.41%	33.52%
443	Weighted-mean ISOVF in tract uncinate fasciculus (right)	0, 46, 23, 72, 89	46.78%	53.71%	60.04%
444	Inverted contrast-to-noise ratio in T1	2, 23, 78, 54, 30	9.90%	22.08%	31.18%
445	Inverted signal-to-noise ratio in T1	54, 82, 78, 23, 32	10.63%	22.07%	32.18%
446	Weighted-mean L3 in tract parahippocampal part of cingulum (right)	64, 51, 38, 67, 80	32.74%	59.06%	70.02%
447	Weighted-mean L3 in tract corticospinal tract (left)	46, 81, 14, 72, 39	25.90%	50.29%	61.10%
448	Weighted-mean L3 in tract corticospinal tract (right)	46, 81, 97, 59, 92	44.91%	63.05%	70.82%
449	Weighted-mean L3 in tract forceps major	57, 14, 45, 89, 11	15.10%	34.97%	47.99%
450	Weighted-mean L3 in tract forceps minor	46, 81, 64, 97, 20	33.49%	69.97%	84.82%
451	Weighted-mean L3 in tract inferior fronto-occipital fasciculus (left)	57, 81, 14, 46, 20	71.33%	90.96%	95.94%
452	Weighted-mean L3 in tract inferior fronto-occipital fasciculus (right)	57, 81, 46, 97, 92	63.44%	89.66%	96.88%
453	Weighted-mean L3 in tract inferior longitudinal fasciculus (left)	57, 81, 14, 46, 51	74.95%	93.61%	96.54%
454	Weighted-mean L3 in tract inferior longitudinal fasciculus (right)	57, 81, 46, 97, 14	77.09%	95.74%	97.54%
455	Weighted-mean L3 in tract middle cerebellar peduncle	38, 73, 13, 39, 11	33.17%	51.18%	64.00%
456	Nucleated red blood cell percentage	27, 99, 54, 39, 1	18.76%	49.31%	65.57%
457	Volume of grey matter in Temporal Occipital Fusiform Cortex (left)	23, 48, 54, 78, 38	10.37%	26.81%	37.28%
458	Volume of grey matter in Vermis VIIIa Cerebellum	54, 99, 35, 8, 89	53.76%	75.86%	83.26%
459	Volume of grey matter in Vermis VIIIb Cerebellum	54, 99, 89, 80, 8	48.23%	73.40%	82.14%
460	Volume of grey matter in VIIIb Cerebellum (left)	54, 99, 89, 8, 35	48.08%	74.66%	81.40%
461	Volume of grey matter in IX Cerebellum (left)	54, 99, 35, 80, 89	49.82%	75.82%	83.07%
462	Maximum carotid IMT (intima-medial thickness) at 210 degrees	23, 64, 79, 89, 78	9.32%	22.88%	33.46%
463	Volume of grey matter in IX Cerebellum (right)	54, 99, 80, 89, 35	46.13%	72.32%	80.29%
464	Volume of grey matter in Vermis IX Cerebellum	54, 99, 89, 80, 35	49.03%	76.23%	82.98%
465	Volume of grey matter in Vermis X Cerebellum	54, 99, 89, 67, 8	36.26%	56.49%	63.93%
466	Volume of grey matter in Parahippocampal Gyrus, posterior division (right)	48, 23, 20, 82, 78	18.92%	34.61%	44.52%
467	Mean carotid IMT (intima-medial thickness) at 210 degrees	23, 79, 86, 49, 64	8.88%	23.18%	31.48%
468	Volume of grey matter in Lingual Gyrus (right)	48, 54, 20, 79, 91	71.18%	76.12%	80.50%
469	Mean carotid IMT (intima-medial thickness) at 120 degrees	89, 86, 23, 45, 83	10.99%	22.60%	32.07%
470	Volume of grey matter in Temporal Fusiform Cortex, anterior division (right)	48, 23, 89, 20, 38	20.74%	36.03%	45.29%
471	Volume of grey matter in Temporal Fusiform Cortex, posterior division (left)	48, 20, 23, 78, 92	44.52%	56.80%	63.88%
472	Maximum carotid IMT (intima-medial thickness) at 120 degrees	89, 23, 79, 45, 83	12.85%	25.50%	36.29%
473	Weighted-mean L3 in tract uncinate fasciculus (right)	14, 57, 97, 46, 81	65.77%	76.36%	82.87%
474	Mean FA in fornix cres+stria terminalis on FA skeleton (left)	46, 97, 54, 23, 57	11.86%	31.32%	43.63%
475	6mm strong meridian (right)	66, 73, 20, 27, 38	95.46%	97.56%	98.23%
476	Weighted-mean L2 in tract anterior thalamic radiation (right)	97, 81, 46, 57, 0	79.87%	86.95%	92.28%
477	Mean ISOVF in cerebral peduncle on FA skeleton (right)	14, 89, 59, 23, 49	15.67%	32.54%	44.34%
478	Mean ISOVF in cerebral peduncle on FA skeleton (left)	14, 23, 78, 49, 48	26.87%	46.86%	56.42%
479	Mean ISOVF in anterior limb of internal capsule on FA skeleton (left)	0, 27, 23, 24, 72	46.69%	54.23%	60.14%
480	Mean ISOVF in inferior cerebellar peduncle on FA skeleton (right)	23, 38, 27, 49, 89	17.94%	33.91%	44.36%
481	Potassium in urine	89, 8, 67, 20, 98	85.48%	89.69%	91.93%
482	Volume of grey matter in Superior Parietal Lobule (right)	23, 49, 2, 27, 78	20.26%	31.68%	42.23%
483	Average weekly champagne plus white wine intake	20, 73, 51, 62, 83	30.52%	44.12%	52.65%
484	Volume of grey matter in X Cerebellum (left)	23, 54, 78, 0, 72	10.82%	28.05%	38.01%
485	Fluid intelligence score	24, 77, 79, 2, 8	98.39%	98.80%	98.97%
486	Age asthma diagnosed	37, 51, 40, 86, 72	75.20%	82.43%	85.91%
487	Platelet distribution width	55, 76, 72, 43, 42	95.22%	98.39%	98.95%
488	Pulse wave Arterial Stiffness index	54, 73, 27, 83, 45	19.25%	44.27%	59.55%
489	Age heart attack diagnosed	23, 86, 89, 79, 1	9.49%	21.83%	32.00%
490	Arm tissue fat percentage (left)	1, 17, 94, 79, 27	69.24%	91.89%	93.94%
491	Number of live births	18, 68, 54, 20, 73	8.67%	22.02%	34.12%
492	6mm weak meridian (left)	66, 73, 54, 38, 99	90.83%	96.59%	97.46%
493	3mm weak meridian (left)	66, 73, 51, 20, 64	94.62%	97.58%	98.29%
494	6mm asymmetry index (right)	73, 20, 8, 78, 98	23.08%	45.04%	52.95%
495	3mm asymmetry index (right)	4, 23, 72, 78, 39	13.83%	28.56%	36.23%
496	Median z-statistic (in group-defined mask) for shapes activation	39, 98, 52, 67, 80	61.02%	79.65%	82.94%
497	Maximum carotid IMT (intima-medial thickness) at 150 degrees	72, 89, 86, 45, 83	17.12%	34.14%	44.22%
498	Cereal intake	35, 67, 89, 74, 52	95.59%	96.51%	97.15%
499	3mm asymmetry index (left)	82, 32, 27, 73, 77	8.24%	22.25%	35.91%
500	6mm asymmetry index (left)	73, 20, 66, 78, 8	18.59%	33.80%	44.48%
501	3mm weak meridian (right)	66, 73, 64, 51, 20	94.11%	97.42%	98.11%
502	6mm weak meridian (right)	66, 73, 92, 54, 83	90.71%	95.22%	97.14%
503	Volume of grey matter in Temporal Pole (left)	48, 23, 20, 83, 77	47.60%	55.43%	61.71%
504	Median T2star in pallidum (left)	20, 54, 92, 38, 27	8.93%	25.62%	36.98%
505	Mother's age at death	64, 20, 18, 77, 10	20.13%	38.25%	49.27%
506	Median T2star in putamen (left)	20, 92, 27, 38, 80	19.22%	41.12%	50.78%
507	Median T2star in putamen (right)	20, 92, 27, 8, 38	20.51%	41.44%	52.10%
508	Median T2star in amygdala (left)	23, 78, 83, 99, 94	13.33%	32.54%	41.39%
509	Median T2star in amygdala (right)	27, 23, 78, 64, 89	15.02%	34.96%	45.48%
510	Median T2star in hippocampus (left)	83, 23, 86, 72, 38	10.76%	27.69%	37.79%
511	Median T2star in hippocampus (right)	83, 89, 39, 38, 23	8.38%	24.30%	36.23%
512	Weighted-mean FA in tract superior thalamic radiation (left)	46, 57, 54, 97, 27	66.95%	76.09%	80.85%
513	Median T2star in accumbens (left)	23, 39, 78, 49, 27	11.80%	25.87%	37.40%
514	Median T2star in accumbens (right)	27, 23, 79, 86, 20	8.47%	20.90%	30.44%
515	Mean FA in splenium of corpus callosum on FA skeleton	46, 81, 14, 57, 97	34.30%	69.59%	81.01%
516	Median z-statistic (in group-defined mask) for faces activation	39, 98, 52, 27, 80	61.95%	80.11%	83.62%
517	Mean corpuscular haemoglobin	55, 91, 43, 27, 20	95.22%	98.28%	98.52%
518	Weighted-mean FA in tract uncinate fasciculus (left)	14, 20, 57, 92, 74	62.23%	79.34%	83.08%
519	Weighted-mean FA in tract superior thalamic radiation (right)	46, 57, 54, 27, 97	69.79%	76.05%	80.91%
520	Weighted-mean MD in tract medial lemniscus (left)	38, 27, 51, 80, 1	46.64%	59.32%	68.00%
521	L1-L4 area	94, 27, 39, 0, 89	23.62%	34.84%	43.95%
522	Median BOLD effect (in group-defined mask) for shapes-faces contrast	20, 27, 74, 71, 39	15.50%	32.57%	45.57%
523	Index of best refractometry result (left)	23, 49, 79, 38, 20	18.48%	32.07%	43.96%
524	Neutrophill count	40, 42, 86, 19, 91	97.65%	98.27%	98.75%
525	Age when loss of vision due to injury or trauma diagnosed	82, 30, 89, 38, 32	10.36%	25.14%	35.85%
526	Longest period of unenthusiasm/disinterest	23, 78, 83, 49, 94	17.25%	33.62%	46.58%
527	Weighted-mean MD in tract anterior thalamic radiation (right)	97, 81, 14, 27, 0	87.20%	92.36%	94.55%
528	Age bronchiectasis diagnosed by doctor	22, 77, 23, 27, 71	8.96%	24.05%	32.97%
529	Average weekly beer plus cider intake	39, 80, 98, 99, 71	31.25%	69.27%	80.69%
530	Minimum carotid IMT (intima-medial thickness) at 210 degrees	23, 78, 49, 22, 72	10.48%	24.61%	34.67%
531	Mean FA in tapetum on FA skeleton (right)	20, 57, 23, 80, 83	20.79%	42.26%	49.54%
532	Mean FA in tapetum on FA skeleton (left)	81, 20, 46, 23, 57	12.09%	32.97%	45.34%
533	Weighted-mean MD in tract superior thalamic radiation (right)	97, 0, 46, 1, 14	35.17%	84.23%	89.55%
534	Mean FA in uncinate fasciculus on FA skeleton (left)	14, 20, 46, 23, 27	25.21%	49.64%	59.02%
535	Weighted-mean MD in tract superior longitudinal fasciculus (right)	46, 97, 81, 57, 0	44.76%	70.21%	85.81%
536	Weighted-mean MD in tract superior longitudinal fasciculus (left)	46, 57, 81, 97, 0	31.33%	73.54%	88.41%
537	Weighted-mean MD in tract posterior thalamic radiation (right)	57, 14, 97, 81, 59	37.35%	67.69%	80.88%
538	Weighted-mean MD in tract posterior thalamic radiation (left)	57, 14, 97, 64, 59	38.65%	57.52%	73.26%
539	Weighted-mean MD in tract medial lemniscus (right)	38, 54, 99, 27, 39	72.11%	86.06%	89.72%
540	Sodium in urine	67, 89, 1, 45, 64	95.52%	96.65%	97.48%
541	Weighted-mean MD in tract middle cerebellar peduncle	38, 73, 13, 39, 11	34.58%	54.40%	66.19%
542	Weighted-mean MD in tract inferior longitudinal fasciculus (right)	57, 81, 14, 97, 0	74.16%	90.13%	94.60%
543	Android tissue fat percentage	17, 94, 73, 45, 23	94.49%	96.81%	97.34%
544	Android lean mass	94, 20, 27, 73, 1	88.06%	91.01%	93.01%
545	Android fat mass	17, 1, 73, 13, 94	97.33%	97.86%	98.25%
546	Android bone mass	84, 20, 94, 23, 51	43.93%	68.40%	75.71%
547	Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (right)	81, 57, 14, 59, 46	79.00%	97.15%	97.82%
548	Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left)	81, 57, 14, 46, 59	78.26%	97.03%	98.04%
549	Weighted-mean ICVF in tract forceps minor	81, 46, 14, 64, 27	84.73%	93.67%	96.28%
550	Weighted-mean ICVF in tract forceps major	81, 57, 97, 27, 18	77.67%	93.16%	94.15%
551	Mean FA in fornix cres+stria terminalis on FA skeleton (right)	97, 89, 14, 57, 46	10.58%	24.32%	36.76%
552	Weighted-mean MO in tract cingulate gyrus part of cingulum (right)	23, 46, 2, 78, 89	13.83%	28.68%	35.57%
553	Mean FA in superior longitudinal fasciculus on FA skeleton (right)	46, 57, 97, 81, 38	62.28%	85.91%	91.43%
554	Mean FA in superior longitudinal fasciculus on FA skeleton (left)	46, 57, 97, 81, 20	62.71%	84.21%	88.20%
555	Mean FA in cingulum cingulate gyrus on FA skeleton (right)	46, 81, 97, 27, 14	52.62%	67.28%	76.70%
556	Mean FA in cingulum cingulate gyrus on FA skeleton (left)	46, 81, 97, 27, 11	61.99%	73.84%	79.35%
557	Weighted-mean MD in tract uncinate fasciculus (left)	14, 20, 57, 97, 92	79.25%	89.13%	92.06%
558	Mean FA in cingulum hippocampus on FA skeleton (left)	14, 46, 57, 23, 79	19.86%	41.32%	51.38%
559	Mean FA in superior fronto-occipital fasciculus on FA skeleton (right)	97, 46, 23, 73, 92	22.49%	42.00%	50.46%
560	90th percentile of z-statistic (in group-defined amygdala activation mask) for shapes- faces contrast	74, 64, 71, 86, 92	11.24%	31.28%	44.39%
561	Weighted-mean MO in tract parahippocampal part of cingulum (left)	23, 20, 49, 79, 78	16.34%	28.26%	38.43%
562	Weighted-mean MO in tract parahippocampal part of cingulum (right)	23, 22, 49, 59, 28	7.70%	21.22%	30.17%
563	Age deep-vein thrombosis (DVT, blood clot in leg) diagnosed	23, 79, 73, 89, 22	10.39%	24.06%	33.55%
564	Volume of grey matter in Middle Temporal Gyrus, temporooccipital part (left)	23, 48, 81, 78, 49	19.20%	33.89%	44.90%
565	Abdominal subcutaneous adipose tissue volume (ASAT)	77, 82, 22, 30, 68	10.72%	27.29%	36.48%
566	Total thigh muscle volume	72, 30, 23, 82, 2	8.85%	22.89%	34.38%
567	Volume of grey matter in Middle Temporal Gyrus, anterior division (right)	48, 20, 23, 27, 78	24.56%	48.71%	57.92%
568	Volume of grey matter in Middle Temporal Gyrus, anterior division (left)	48, 23, 78, 49, 81	43.93%	58.00%	63.61%
569	Volume of grey matter in Superior Temporal Gyrus, posterior division (right)	48, 20, 23, 78, 68	57.26%	68.08%	73.92%
570	Volume of grey matter in Superior Temporal Gyrus, posterior division (left)	48, 23, 78, 82, 49	41.02%	53.49%	60.20%
571	Age COPD (Chronic Obstructive Pulmonary Disease) diagnosed by doctor	27, 82, 73, 30, 25	11.22%	31.86%	45.32%
572	Forced expiratory volume in 1-second (FEV1)	7, 44, 3, 96, 16	68.44%	93.26%	96.18%
573	Trunk fat mass	23, 49, 33, 30, 50	39.38%	84.49%	92.44%
574	Posterior thigh lean muscle volume (left)	72, 30, 82, 23, 2	9.14%	22.41%	33.48%
575	Posterior thigh lean muscle volume (right)	23, 72, 78, 82, 49	13.73%	31.60%	42.95%
576	Age tuberculosis diagnosed by doctor	23, 78, 67, 8, 59	6.68%	18.12%	28.99%
577	Lifetime number of same-sex sexual partners	23, 79, 49, 83, 78	13.26%	26.27%	35.89%
578	Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (left)	0, 79, 27, 23, 72	28.39%	38.43%	47.11%
579	Standing height	53, 16, 5, 78, 7	46.29%	82.92%	89.94%
580	Weighted-mean L1 in tract posterior thalamic radiation (right)	57, 97, 81, 14, 59	30.30%	61.34%	76.42%
581	Volume of grey matter in Vermis VI Cerebellum	54, 99, 89, 73, 59	33.69%	52.72%	59.35%
582	Volume of grey matter in VI Cerebellum (right)	54, 99, 35, 48, 20	50.55%	69.33%	78.12%
583	oesophageal disorder	79, 23, 73, 8, 49	9.97%	26.50%	38.29%
584	Volume of grey matter in I-IV Cerebellum (right)	54, 99, 20, 92, 89	39.78%	60.23%	71.02%
585	Volume of grey matter in V Cerebellum (left)	54, 99, 20, 92, 35	39.77%	59.01%	67.89%
586	Volume of grey matter in V Cerebellum (right)	54, 99, 20, 92, 89	40.21%	60.87%	70.74%
587	Volume of grey matter in VI Cerebellum (left)	54, 99, 35, 20, 89	51.41%	73.26%	80.81%
588	Volume of grey matter in Ventral Striatum (left)	54, 99, 89, 48, 80	33.30%	53.84%	66.80%
589	Volume of grey matter in Ventral Striatum (right)	54, 99, 89, 48, 51	31.49%	59.52%	72.16%
590	Volume of grey matter in Brain-Stem	48, 54, 20, 89, 23	24.45%	51.25%	59.93%
591	Volume of grey matter in I-IV Cerebellum (left)	54, 99, 35, 92, 20	42.27%	59.93%	70.37%
592	Weighted-mean ISOVF in tract corticospinal tract (right)	38, 8, 72, 23, 73	7.48%	20.56%	30.71%
593	Volume of grey matter in Parahippocampal Gyrus, posterior division (left)	48, 23, 78, 20, 82	40.00%	54.02%	59.07%
594	Weighted-mean ISOVF in tract parahippocampal part of cingulum (right)	64, 51, 38, 67, 99	31.41%	59.44%	69.28%
595	Weighted-mean ISOVF in tract parahippocampal part of cingulum (left)	38, 64, 27, 80, 11	17.89%	44.78%	58.27%
596	Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (right)	0, 13, 1, 54, 17	76.96%	82.16%	85.10%
597	Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (left)	0, 13, 1, 54, 68	68.24%	75.83%	79.81%
598	Weighted-mean ISOVF in tract forceps minor	0, 23, 78, 39, 1	69.18%	74.19%	78.52%
599	Mean carotid IMT (intima-medial thickness) at 150 degrees	89, 72, 86, 45, 83	12.93%	29.94%	41.62%
600	Eosinophill percentage	70, 86, 37, 43, 45	89.42%	99.18%	99.42%
601	Mean FA in posterior corona radiata on FA skeleton (right)	46, 81, 57, 20, 14	28.39%	75.60%	85.55%
602	Weighted-mean ISOVF in tract inferior longitudinal fasciculus (right)	0, 13, 1, 54, 62	77.71%	83.35%	86.11%
603	Weighted-mean ISOVF in tract inferior longitudinal fasciculus (left)	0, 13, 1, 46, 62	68.73%	76.13%	80.48%
604	Systolic blood pressure, automated reading	60, 21, 71, 52, 74	93.33%	97.60%	99.49%
605	Weighted-mean ICVF in tract anterior thalamic radiation (left)	81, 97, 46, 0, 14	67.26%	94.33%	96.54%
606	Forced vital capacity (FVC), Best measure	7, 44, 3, 96, 16	60.89%	91.00%	96.04%
607	Weighted-mean ICVF in tract anterior thalamic radiation (right)	81, 97, 14, 46, 0	62.64%	90.32%	94.70%
608	Number of spontaneous miscarriages	23, 79, 78, 49, 64	11.97%	26.82%	39.08%
609	Volume of grey matter in Temporal Fusiform Cortex, anterior division (left)	48, 23, 89, 49, 78	35.99%	47.43%	55.25%
